Oracle Result,,,,,,,,TIDB Result,,,,,
TRACE,ACQUIRER,ISSUER,ISSUER_RP,FEE_PACKAGE_TYPE,INS_TYPE_FEE,,,TRACE,ACQUIRER,ISSUER,ISSUER_RP,FEE_PACKAGE_TYPE,INS_TYPE_FEE
2660265,970443,970443,970443,,,,,2660265,970443,970443,970443,,
2663317,970443,970443,970443,,,,,2663317,970443,970443,970443,,
2663678,970443,970443,970443,,,,,2663678,970443,970443,970443,,
2672631,970443,970443,970443,,,,,2672631,970443,970443,970443,,
2674668,970443,970443,970443,,,,,2674668,970443,970443,970443,,
2675277,970443,970443,970443,,,,,2675277,970443,970443,970443,,
2678004,970443,970443,970443,,,,,2678004,970443,970443,970443,,
2681317,970443,970443,970443,,,,,2681317,970443,970443,970443,,
2690643,970412,970412,980478,G2_2022,,,,2690643,970412,970412,980478,G2_2022,
2691410,970443,970443,970443,,,,,2691410,970443,970443,970443,,
2698185,970443,970443,970443,,,,,2698185,970443,970443,970443,,
2698930,970443,970443,970443,,,,,2698930,970443,970443,970443,,
2700385,970443,970443,970443,,,,,2700385,970443,970443,970443,,
2701884,970443,970443,970443,,,,,2701884,970443,970443,970443,,
2703018,970412,970412,980478,G2_2022,,,,2703018,970412,970412,980478,G2_2022,
2703942,970443,970443,970443,,,,,2703942,970443,970443,970443,,
2705487,970443,970443,970443,,,,,2705487,970443,970443,970443,,
2706310,970443,970443,970443,,,,,2706310,970443,970443,970443,,
2707144,970412,970412,970412,G2_2022,,,,2707144,970412,970412,970412,G2_2022,
2707438,970443,970443,970443,,,,,2707438,970443,970443,970443,,
2714246,970443,970443,970443,,,,,2714246,970443,970443,970443,,
2720298,970443,970443,970443,,,,,2720298,970443,970443,970443,,
2722059,970443,970443,970443,,,,,2722059,970443,970443,970443,,
2729368,970443,970443,970443,,,,,2729368,970443,970443,970443,,
2730229,970443,970443,970443,,,,,2730229,970443,970443,970443,,
2735767,970443,970443,970443,,,,,2735767,970443,970443,970443,,
2741355,970443,970443,970443,,,,,2741355,970443,970443,970443,,
2744657,970443,970443,970443,,,,,2744657,970443,970443,970443,,
2748288,970443,970443,970443,,,,,2748288,970443,970443,970443,,
2752654,970443,970443,970443,,,,,2752654,970443,970443,970443,,
2754535,970443,970443,970443,,,,,2754535,970443,970443,970443,,
2760558,970443,970443,970443,,,,,2760558,970443,970443,970443,,
2761121,970443,970443,970443,,,,,2761121,970443,970443,970443,,
2764216,970443,970443,970443,,,,,2764216,970443,970443,970443,,
2766963,970443,970443,970443,,,,,2766963,970443,970443,970443,,
2767191,970443,970443,970443,,,,,2767191,970443,970443,970443,,
2767852,970443,970443,970443,,,,,2767852,970443,970443,970443,,
2768630,970443,970443,970443,,,,,2768630,970443,970443,970443,,
2770001,970443,970443,970443,,,,,2770001,970443,970443,970443,,
2775883,970443,970443,970443,,,,,2775883,970443,970443,970443,,
2776651,970443,970443,970443,,,,,2776651,970443,970443,970443,,
2777245,970443,970443,970443,,,,,2777245,970443,970443,970443,,
2781186,970443,970443,970443,,,,,2781186,970443,970443,970443,,
2783155,970443,970443,970443,,,,,2783155,970443,970443,970443,,
2783833,970443,970443,970443,,,,,2783833,970443,970443,970443,,
2785305,970443,970443,970443,,,,,2785305,970443,970443,970443,,
2789335,970443,970443,970443,,,,,2789335,970443,970443,970443,,
2796033,970443,970443,970443,,,,,2796033,970443,970443,970443,,
2797997,970443,970443,970443,,,,,2797997,970443,970443,970443,,
2798175,970443,970443,970443,,,,,2798175,970443,970443,970443,,
2798630,970443,970443,970443,,,,,2798630,970443,970443,970443,,
2799534,970443,970443,970443,,,,,2799534,970443,970443,970443,,
2804888,970443,970443,970443,,,,,2804888,970443,970443,970443,,
2805544,970443,970443,970443,,,,,2805544,970443,970443,970443,,
2809838,970443,970443,970443,,,,,2809838,970443,970443,970443,,
2810386,970443,970443,970443,,,,,2810386,970443,970443,970443,,
2819730,970443,970443,970443,,,,,2819730,970443,970443,970443,,
2824627,970443,970443,970443,,,,,2824627,970443,970443,970443,,
2827672,970443,970443,970443,,,,,2827672,970443,970443,970443,,
2828483,970443,970443,970443,,,,,2828483,970443,970443,970443,,
2829144,970443,970443,970443,,,,,2829144,970443,970443,970443,,
2833555,970443,970443,970443,,,,,2833555,970443,970443,970443,,
2834565,970443,970443,970443,,,,,2834565,970443,970443,970443,,
2846472,970443,970443,970443,,,,,2846472,970443,970443,970443,,
2847684,970443,970443,970443,,,,,2847684,970443,970443,970443,,
2848418,970443,970443,970443,,,,,2848418,970443,970443,970443,,
2849080,970443,970443,970443,,,,,2849080,970443,970443,970443,,
2851696,970443,970443,970443,,,,,2851696,970443,970443,970443,,
2854308,970443,970443,970443,,,,,2854308,970443,970443,970443,,
2854534,970443,970443,970443,,,,,2854534,970443,970443,970443,,
2862276,970443,970443,970443,,,,,2862276,970443,970443,970443,,
2862606,970443,970443,970443,,,,,2862606,970443,970443,970443,,
